Processor Settings
D: 4
k0: 3
k1: 3
k2: 3
F: 8
M: 8
C: 8

INST	FETCH	DISP	SCHED	EXEC	STATE
1	0	1	2	3	5
2	0	1	2	3	5
3	0	1	2	3	4
4	0	1	2	3	6
5	0	1	2	3	6
6	0	1	2	3	4
7	0	1	2	3	6
8	0	1	2	3	4
9	1	2	3	5	6
10	1	2	3	7	8
11	1	2	3	9	10
12	1	2	3	11	12
13	1	2	3	4	7
14	1	2	3	4	7
15	1	2	3	4	5
16	1	2	3	4	5
17	2	3	4	5	7
18	2	3	4	5	7
19	2	3	4	5	6
20	2	3	4	5	8
21	2	3	4	5	8
22	2	3	4	5	6
23	2	3	4	5	8
24	2	3	4	6	7
25	3	4	5	8	9
26	3	4	5	10	11
27	3	4	5	12	13
28	3	4	5	14	15
29	3	4	5	6	9
30	3	4	5	6	9
31	3	4	5	6	7
32	3	4	5	6	7
33	4	5	6	7	9
34	4	5	6	7	9
35	4	5	6	7	8
36	4	5	6	7	10
37	4	5	6	7	10
38	4	5	6	7	8
39	4	5	6	7	10
40	4	5	6	8	9
41	5	6	7	10	11
42	5	6	7	12	13
43	5	6	7	14	15
44	5	6	7	16	17
45	5	6	7	8	11
46	5	6	7	8	11
47	5	6	7	8	9
48	5	6	7	9	10
49	6	7	8	9	11
50	6	7	8	9	11
51	6	7	8	9	10
52	6	7	8	9	12
53	6	7	8	9	12
54	6	7	8	10	11
55	6	7	8	9	12
56	6	7	8	11	12
57	7	8	9	13	14
58	7	8	9	15	16
59	7	8	9	17	18
60	7	8	9	19	20
61	7	8	9	10	13
62	7	8	9	10	13
63	7	8	9	11	12
64	7	8	10	12	13
65	8	9	10	11	13
66	8	9	10	11	13
67	8	9	10	13	14
68	8	9	10	11	14
69	8	9	10	11	14
70	8	9	10	13	14
71	8	9	10	11	14
72	8	9	11	14	15
73	9	10	11	16	17
74	9	10	11	18	19
75	9	10	12	20	21
76	9	10	12	22	23
77	9	10	12	13	16
78	9	10	12	13	16
79	9	10	12	15	16
80	9	10	13	15	16
81	10	11	13	14	16
82	10	11	13	14	16
83	10	11	13	16	17
84	10	11	13	14	17
85	10	11	13	14	17
86	10	11	13	17	18
87	10	11	13	14	17
88	10	11	14	17	18
89	11	12	14	19	20
90	11	12	14	21	22
91	11	12	15	23	24
92	11	12	15	25	26
93	11	12	15	16	19
94	11	12	15	16	19
95	11	12	15	18	19
96	11	12	16	18	19
97	12	13	16	17	19
98	12	13	16	17	19
99	12	13	16	19	20
100	12	13	16	17	20
101	12	13	16	17	20
102	12	13	16	20	21
103	12	13	16	17	20
104	12	13	17	20	21
105	13	14	17	22	23
106	13	14	17	24	25
107	13	14	18	26	27
108	13	14	18	28	29
109	13	14	18	19	22
110	13	14	18	19	22
111	13	14	18	21	22
112	13	14	19	21	22
113	14	15	19	20	22
114	14	15	19	20	22
115	14	15	19	22	23
116	14	15	19	20	23
117	14	15	19	20	23
118	14	15	19	23	24
119	14	15	19	20	23
120	14	15	20	23	24
121	15	16	20	25	26
122	15	16	20	27	28
123	15	16	21	29	30
124	15	16	21	31	32
125	15	16	21	22	25
126	15	16	21	22	25
127	15	16	21	24	25
128	15	16	22	24	25
129	16	17	22	23	25
130	16	17	22	23	25
131	16	17	22	25	26
132	16	17	22	23	26
133	16	17	22	23	26
134	16	17	22	26	27
135	16	17	22	23	26
136	16	17	23	26	27
137	17	18	23	28	29
138	17	18	23	30	31
139	17	18	24	32	33
140	17	18	24	34	35
141	17	18	24	25	28
142	17	18	24	25	28
143	17	18	24	27	28
144	17	18	25	27	28
145	18	19	25	26	28
146	18	19	25	26	28
147	18	19	25	28	29
148	18	19	25	26	29
149	18	19	25	26	29
150	18	19	25	29	30
151	18	19	25	26	29
152	18	19	26	29	30
153	19	20	26	31	32
154	19	20	26	33	34
155	19	20	27	35	36
156	19	20	27	37	38
157	19	20	27	28	31
158	19	20	27	28	31
159	19	20	27	30	31
160	19	20	28	30	31
161	20	21	28	29	31
162	20	21	28	29	31
163	20	21	28	31	32
164	20	21	28	29	32
165	20	21	28	29	32
166	20	21	28	32	33
167	20	21	28	29	32
168	20	21	29	32	33
169	21	22	29	34	35
170	21	22	29	36	37
171	21	22	30	38	39
172	21	22	30	40	41
173	21	22	30	31	34
174	21	22	30	31	34
175	21	22	30	33	34
176	21	22	31	33	34
177	22	23	31	32	34
178	22	23	31	32	34
179	22	23	31	34	35
180	22	23	31	32	35
181	22	23	31	32	35
182	22	23	31	35	36
183	22	23	31	32	35
184	22	23	32	35	36
185	23	24	32	37	38
186	23	24	32	39	40
187	23	24	33	41	42
188	23	24	33	43	44
189	23	24	33	34	37
190	23	24	33	34	37
191	23	24	33	36	37
192	23	24	34	36	37
193	24	25	34	35	37
194	24	25	34	35	37
195	24	25	34	37	38
196	24	25	34	35	38
197	24	25	34	35	38
198	24	25	34	38	39
199	24	25	34	35	38
200	24	25	35	38	39
201	25	26	35	40	41
202	25	26	35	42	43
203	25	26	36	44	45
204	25	26	36	46	47
205	25	26	36	37	40
206	25	26	36	37	40
207	25	26	36	39	40
208	25	26	37	39	40
209	26	27	37	38	40
210	26	27	37	38	40
211	26	27	37	40	41
212	26	27	37	38	41
213	26	27	37	38	41
214	26	27	37	41	42
215	26	27	37	38	41
216	26	27	38	41	42
217	27	28	38	43	44
218	27	28	38	45	46
219	27	28	39	47	48
220	27	28	39	49	50
221	27	28	39	40	43
222	27	28	39	40	43
223	27	28	39	42	43
224	27	28	40	42	43
225	28	29	40	41	43
226	28	29	40	41	43
227	28	29	40	43	44
228	28	29	40	41	44
229	28	29	40	41	44
230	28	29	40	44	45
231	28	29	40	41	44
232	28	29	41	44	45
233	29	30	41	46	47
234	29	30	41	48	49
235	29	30	42	50	51
236	29	30	42	52	53
237	29	30	42	43	46
238	29	30	42	43	46
239	29	30	42	45	46
240	29	30	43	45	46
241	30	31	43	44	46
242	30	31	43	44	46
243	30	31	43	46	47
244	30	31	43	44	47
245	30	31	43	44	47
246	30	31	43	47	48
247	30	31	43	44	47
248	30	31	44	47	48
249	31	32	44	49	50
250	31	32	44	51	52
251	31	32	45	53	54
252	31	32	45	55	56
253	31	32	45	46	49
254	31	32	45	46	49
255	31	32	45	48	49
256	31	32	46	48	49
257	32	33	46	47	49
258	32	33	46	47	49
259	32	33	46	49	50
260	32	33	46	47	50
261	32	33	46	47	50
262	32	33	46	50	51
263	32	33	46	47	50
264	32	33	47	50	51
265	33	34	47	52	53
266	33	34	47	54	55
267	33	34	48	56	57
268	33	34	48	58	59
269	33	34	48	49	52
270	33	34	48	49	52
271	33	34	48	51	52
272	33	34	49	51	52
273	34	35	49	50	52
274	34	35	49	50	52
275	34	35	49	52	53
276	34	35	49	50	53
277	34	35	49	50	53
278	34	35	49	53	54
279	34	35	49	50	53
280	34	35	50	53	54
281	35	36	50	55	56
282	35	36	50	57	58
283	35	36	51	59	60
284	35	36	51	61	62
285	35	36	51	52	55
286	35	36	51	52	55
287	35	36	51	54	55
288	35	36	52	54	55
289	36	37	52	53	55
290	36	37	52	53	55
291	36	37	52	55	56
292	36	37	52	53	56
293	36	37	52	53	56
294	36	37	52	56	57
295	36	37	52	53	56
296	36	37	53	56	57
297	37	38	53	58	59
298	37	38	53	60	61
299	37	38	54	62	63
300	37	38	54	64	65
301	37	38	54	55	58
302	37	38	54	55	58
303	37	38	54	57	58
304	37	38	55	57	58
305	38	39	55	56	58
306	38	39	55	56	58
307	38	39	55	58	59
308	38	39	55	56	59
309	38	39	55	56	59
310	38	39	55	59	60
311	38	39	55	56	59
312	38	39	56	59	60
313	39	40	56	61	62
314	39	40	56	63	64
315	39	40	57	65	66
316	39	40	57	67	68
317	39	40	57	58	61
318	39	40	57	58	61
319	39	40	57	60	61
320	39	40	58	60	61
321	40	41	58	59	61
322	40	41	58	59	61
323	40	41	58	61	62
324	40	41	58	59	62
325	40	41	58	59	62
326	40	41	58	62	63
327	40	41	58	59	62
328	40	41	59	62	63
329	41	42	59	64	65
330	41	42	59	66	67
331	41	42	60	68	69
332	41	42	60	70	71
333	41	42	60	61	64
334	41	42	60	61	64
335	41	42	60	63	64
336	41	42	61	63	64
337	42	43	61	62	64
338	42	43	61	62	64
339	42	43	61	64	65
340	42	43	61	62	65
341	42	43	61	62	65
342	42	43	61	65	66
343	42	43	61	62	65
344	42	43	62	65	66
345	43	44	62	67	68
346	43	44	62	69	70
347	43	44	63	71	72
348	43	44	63	73	74
349	43	44	63	64	67
350	43	44	63	64	67
351	43	44	63	66	67
352	43	44	64	66	67
353	44	45	64	65	67
354	44	45	64	65	67
355	44	45	64	67	68
356	44	45	64	65	68
357	44	45	64	65	68
358	44	45	64	68	69
359	44	45	64	65	68
360	44	45	65	68	69
361	45	46	65	70	71
362	45	46	65	72	73
363	45	46	66	74	75
364	45	46	66	76	77
365	45	46	66	67	70
366	45	46	66	67	70
367	45	46	66	69	70
368	45	46	67	69	70
369	46	47	67	68	70
370	46	47	67	68	70
371	46	47	67	70	71
372	46	47	67	68	71
373	46	47	67	68	71
374	46	47	67	71	72
375	46	47	67	68	71
376	46	47	68	71	72
377	47	48	68	73	74
378	47	48	68	75	76
379	47	48	69	77	78
380	47	48	69	79	80
381	47	48	69	70	73
382	47	48	69	70	73
383	47	48	69	72	73
384	47	48	70	72	73
385	48	49	70	71	73
386	48	49	70	71	73
387	48	49	70	73	74
388	48	49	70	71	74
389	48	49	70	71	74
390	48	49	70	74	75
391	48	49	70	71	74
392	48	49	71	74	75
393	49	50	71	76	77
394	49	50	71	78	79
395	49	50	72	80	81
396	49	50	72	82	83
397	49	50	72	73	76
398	49	50	72	73	76
399	49	50	72	75	76
400	49	50	73	75	76
401	50	51	73	74	76
402	50	51	73	74	76
403	50	51	73	76	77
404	50	51	73	74	77
405	50	51	73	74	77
406	50	51	73	77	78
407	50	51	73	74	77
408	50	51	74	77	78
409	51	52	74	79	80
410	51	52	74	81	82
411	51	52	75	83	84
412	51	52	75	85	86
413	51	52	75	76	79
414	51	52	75	76	79
415	51	52	75	78	79
416	51	52	76	78	79
417	52	53	76	77	79
418	52	53	76	77	79
419	52	53	76	79	80
420	52	53	76	77	80
421	52	53	76	77	80
422	52	53	76	80	81
423	52	53	76	77	80
424	52	53	77	80	81
425	53	54	77	82	83
