Processor Settings
D: 1
k0: 1
k1: 1
k2: 3
F: 2
M: 2
C: 4

INST	FETCH	DISP	SCHED	EXEC	STATE
1	0	1	2	3	4
2	0	1	2	4	5
3	1	2	6	7	8
4	1	2	7	8	9
5	2	3	10	11	12
6	2	3	11	12	13
7	3	4	14	15	16
8	3	4	15	16	17
9	4	5	18	19	20
10	4	5	19	20	21
11	5	6	22	23	24
12	5	6	23	25	26
13	6	7	26	27	28
14	7	8	26	27	30
15	10	11	28	29	30
16	11	12	28	29	32
17	14	15	30	31	32
18	15	16	32	33	34
19	18	19	34	35	36
20	19	20	36	37	38
21	22	23	38	39	40
22	23	24	40	41	42
23	26	27	42	43	44
24	26	27	44	45	46
25	28	29	46	47	48
26	28	29	48	49	50
27	30	31	50	51	52
28	32	33	50	51	54
29	34	35	52	53	54
30	36	37	54	55	56
31	38	39	56	57	58
32	40	41	58	59	60
33	42	43	60	61	62
34	44	45	62	63	64
35	46	47	64	65	66
36	48	49	66	67	68
37	50	51	68	69	70
38	50	51	70	71	72
39	52	53	72	73	74
40	54	55	74	75	76
41	56	57	76	77	78
42	58	59	78	79	80
43	60	61	78	79	82
44	62	63	80	81	82
45	64	65	82	83	84
46	66	67	84	85	86
47	68	69	86	87	88
48	70	71	88	89	90
49	72	73	90	91	92
50	74	75	92	93	94
51	76	77	94	95	96
52	78	79	96	97	98
53	78	79	98	99	100
54	80	81	100	101	102
55	82	83	102	103	104
56	84	85	104	105	106
57	86	87	106	107	108
58	88	89	108	109	110
59	90	91	110	111	112
60	92	93	112	113	114
61	94	95	114	115	116
62	96	97	116	117	118
63	98	99	118	119	120
64	100	101	120	121	122
65	102	103	122	123	124
66	104	105	122	123	126
67	106	107	124	125	126
68	108	109	124	125	128
69	110	111	126	127	128
70	112	113	128	129	130
71	114	115	130	131	132
72	116	117	132	133	134
73	118	119	134	135	136
74	120	121	136	137	138
75	122	123	138	139	140
76	122	123	140	141	142
77	124	125	142	143	144
78	124	125	144	145	146
79	126	127	146	147	148
80	128	129	146	147	150
81	130	131	148	149	150
82	132	133	150	151	152
83	134	135	152	153	154
84	136	137	154	155	156
85	138	139	156	157	158
86	140	141	158	159	160
87	142	143	160	161	162
88	144	145	162	163	164
89	146	147	164	165	166
90	146	147	166	167	168
91	148	149	168	169	170
92	150	151	170	171	172
93	152	153	172	173	174
94	154	155	174	175	176
95	156	157	174	175	178
96	158	159	176	177	178
97	160	161	178	179	180
98	162	163	180	181	182
99	164	165	182	183	184
100	166	167	184	185	186
101	168	169	186	187	188
102	170	171	188	189	190
103	172	173	190	191	192
104	174	175	192	193	194
105	174	175	194	195	196
106	176	177	196	197	198
107	178	179	198	199	200
108	180	181	200	201	202
109	182	183	202	203	204
110	184	185	204	205	206
111	186	187	206	207	208
112	188	189	208	209	210
113	190	191	210	211	212
114	192	193	212	213	214
115	194	195	214	215	216
116	196	197	216	217	218
117	198	199	218	219	220
118	200	201	218	219	222
119	202	203	220	221	222
120	204	205	220	221	224
121	206	207	222	223	224
122	208	209	224	225	226
123	210	211	226	227	228
124	212	213	228	229	230
125	214	215	230	231	232
126	216	217	232	233	234
127	218	219	234	235	236
128	218	219	236	237	238
129	220	221	238	239	240
130	220	221	240	241	242
131	222	223	242	243	244
132	224	225	242	243	246
133	226	227	244	245	246
134	228	229	246	247	248
135	230	231	248	249	250
136	232	233	250	251	252
137	234	235	252	253	254
138	236	237	254	255	256
139	238	239	256	257	258
140	240	241	258	259	260
141	242	243	260	261	262
142	242	243	262	263	264
143	244	245	264	265	266
144	246	247	266	267	268
145	248	249	268	269	270
146	250	251	270	271	272
147	252	253	270	271	274
148	254	255	272	273	274
149	256	257	274	275	276
150	258	259	276	277	278
151	260	261	278	279	280
152	262	263	280	281	282
153	264	265	282	283	284
154	266	267	284	285	286
155	268	269	286	287	288
156	270	271	288	289	290
157	270	271	290	291	292
158	272	273	292	293	294
159	274	275	294	295	296
160	276	277	296	297	298
161	278	279	298	299	300
162	280	281	300	301	302
163	282	283	302	303	304
164	284	285	304	305	306
165	286	287	306	307	308
166	288	289	308	309	310
167	290	291	310	311	312
168	292	293	312	313	314
169	294	295	314	315	316
170	296	297	314	315	318
171	298	299	316	317	318
172	300	301	316	317	320
173	302	303	318	319	320
174	304	305	320	321	322
175	306	307	322	323	324
176	308	309	324	325	326
177	310	311	326	327	328
178	312	313	328	329	330
179	314	315	330	331	332
180	314	315	332	333	334
181	316	317	334	335	336
182	316	317	336	337	338
183	318	319	338	339	340
