Processor Settings
D: 1
k0: 3
k1: 3
k2: 3
F: 8
M: 8
C: 4

INST	FETCH	DISP	SCHED	EXEC	STATE
1	0	1	2	3	6
2	0	1	2	3	6
3	0	1	2	3	6
4	0	1	2	4	7
5	0	1	2	4	7
6	0	1	2	7	10
7	0	1	2	3	4
8	0	1	2	3	4
9	1	2	3	5	6
10	1	2	3	4	5
11	1	2	3	5	8
12	1	2	3	11	12
13	1	2	3	6	8
14	1	2	3	5	7
15	1	2	3	5	7
16	1	2	3	8	10
17	2	3	4	8	10
18	2	3	4	8	11
19	2	3	4	6	8
20	2	3	4	5	8
21	2	3	4	8	10
22	2	3	4	11	14
23	2	3	4	6	9
24	2	3	4	10	13
25	3	4	5	6	9
26	3	4	5	6	9
27	3	4	5	11	12
28	3	4	5	7	9
29	3	4	5	10	11
30	3	4	5	7	11
31	3	4	5	10	11
32	3	4	5	10	12
33	4	5	6	9	12
34	4	5	6	7	13
35	4	5	6	13	14
36	4	5	6	7	13
37	4	5	6	9	13
38	4	5	6	11	14
39	4	5	6	11	14
40	4	5	6	13	15
41	5	6	7	8	15
42	5	6	7	9	15
43	5	6	7	16	19
44	5	6	7	15	17
45	5	6	7	16	19
46	5	6	7	20	21
47	5	6	7	20	21
48	5	6	7	22	23
49	6	7	8	18	19
50	6	7	8	18	19
51	6	7	8	9	15
52	6	7	8	18	20
53	6	7	8	15	16
54	6	7	8	20	23
55	6	7	8	9	16
56	6	7	9	20	21
57	7	8	9	11	16
58	7	8	10	22	23
59	7	8	11	24	25
60	7	8	11	15	17
61	7	8	11	12	16
62	7	8	11	24	27
63	7	8	11	12	17
64	7	8	13	28	29
65	8	9	13	14	17
66	8	9	14	15	18
67	8	9	14	22	25
68	8	9	14	15	18
69	8	9	14	26	29
70	8	9	14	26	27
71	8	9	14	19	20
72	8	9	15	30	31
73	9	10	15	30	31
74	9	10	15	16	18
75	9	10	16	30	31
76	9	10	16	30	33
77	9	10	17	34	35
78	9	10	17	32	33
79	9	10	17	19	20
80	9	10	18	36	37
81	10	11	18	32	33
82	10	11	18	19	20
83	10	11	19	21	22
84	10	11	19	21	22
85	10	11	20	21	22
86	10	11	20	34	37
87	10	11	21	23	24
88	10	11	21	22	25
89	11	12	21	22	23
90	11	12	22	26	27
91	11	12	22	38	41
92	11	12	22	38	39
93	11	12	22	23	26
94	11	12	22	23	24
95	11	12	22	23	26
96	11	12	22	27	28
97	12	13	22	27	30
98	12	13	23	25	26
99	12	13	23	24	25
100	12	13	23	24	26
101	12	13	24	34	35
102	12	13	24	34	35
103	12	13	24	25	27
104	12	13	25	26	28
105	13	14	25	27	28
106	13	14	25	35	36
107	13	14	26	35	36
108	13	14	26	27	28
109	13	14	27	28	29
110	13	14	27	31	32
111	13	14	28	29	30
112	13	14	28	29	30
113	14	15	29	35	36
114	14	15	29	37	40
115	14	15	29	36	37
116	14	15	29	33	34
117	14	15	30	36	37
118	14	15	30	31	32
119	14	15	30	31	32
120	14	15	30	33	34
121	15	16	31	33	34
122	15	16	31	35	38
123	15	16	31	35	38
124	15	16	31	32	33
125	15	16	31	38	40
126	15	16	31	39	42
127	15	16	31	39	42
128	15	16	31	39	41
129	16	17	32	39	40
130	16	17	32	39	40
131	16	17	33	39	41
132	16	17	33	43	44
133	16	17	33	37	38
134	16	17	34	41	42
135	16	17	34	37	38
136	16	17	34	40	41
137	17	18	35	42	43
138	17	18	35	37	39
139	17	18	35	40	42
140	17	18	36	38	39
141	17	18	36	37	39
142	17	18	36	40	43
143	17	18	36	44	47
144	17	18	36	40	43
145	18	19	36	44	45
146	18	19	37	38	43
147	18	19	37	39	44
148	18	19	37	44	45
149	18	19	37	44	45
150	18	19	38	41	44
151	18	19	38	40	44
152	18	19	38	46	48
153	19	20	38	46	49
154	19	20	38	40	45
155	19	20	38	40	46
156	19	20	38	45	46
157	20	21	38	46	47
158	20	21	39	41	46
159	21	22	39	42	46
160	21	22	39	40	47
